PARID,LUC,LUC_desc,PROPERTY_LOC,PropLoc_desc,PROPERTY_CLASS,NBHD,ZONING,WATER,Water_desc,DEGREE_REMOD,degree_remod_desc,YEAR_REMOD,YRBLT,COMM_YRBLT,X_CO,Y_CO,situs
0403 00080000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2520314,184777,125 W STATE ST
0403 00090000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,C1,1,Public,,Not Listed,,1900,,2520348,184813,123 W STATE ST
0403 00100000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1954,,2519578,184035,2 CLAY CREEK RD
0403 00110000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2519753,184000,316 CLAY CREEK RD
0403 00110100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1967,,2520628,183399,20 INDIAN RUN RD
0403 00110300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1979,,2520231,183676,11 N WILLIAMSON RD
0403 00110400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1979,,2520276,183433,5 N WILLIAMSON RD
0403 00110500,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1979,,2520159,183598,9 N WILLIAMSON RD
0403 00110600,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1979,,2520187,183497,7 N WILLIAMSON RD
0403 00110700,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1979,,2520311,183357,3 N WILLIAMSON RD
0403 00110800,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1979,,2520344,183275,1 N WILLIAMSON RD
0403 00110900,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1984,,2520353,183650,10 N WILLIAMSON RD
0403 00111000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1984,,2520429,183560,8 N WILLIAMSON RD
0403 00111100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1985,,2520465,183478,6 N WILLIAMSON RD
0403 00111200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1985,,2520493,183402,4 N WILLIAMSON RD
0403 00111300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1985,,2520515,183326,2 N WILLIAMSON RD
0403 00111400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1979,,2520387,183115,7 MILLER DR
0403 00111500,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1979,,2520543,183157,5 MILLER DR
0403 00111600,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1986,,2520628,183174,3 MILLER DR
0403 00111700,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1985,,2520712,183194,1 MILLER DR
0403 00111800,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520283,183101,9 MILLER DR
0403 00111900,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520164,183103,11 MILLER DR
0403 00112000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520089,183161,13 MILLER DR
0403 00112100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520049,183251,15 MILLER DR
0403 00112200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2519955,183324,17 MILLER DR
0403 00112300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2519847,183490,18 MILLER DR
0403 00112400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2519849,183575,3 COOK CRT
0403 00112500,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2519804,183651,5 COOK CRT
0403 00112600,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2519738,183710,7 COOK CRT
0403 00112700,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2519746,183820,9 COOK CRT
0403 00112800,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2519845,183888,14 COOK CRT
0403 00112900,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2519941,183862,12 COOK CRT
0403 00113000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2519963,183775,10 COOK CRT
0403 00113100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520046,183703,8 COOK CRT
0403 00113200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520051,183623,6 COOK CRT
0403 00113300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520052,183523,4 COOK CRT
0403 00113400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520047,183441,16 MILLER DR
0403 00113500,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520113,183395,14 MILLER DR
0403 00113600,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520184,183354,12 MILLER DR
0403 00113700,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04002000,R1,1,Public,,Not Listed,,1987,,2520245,183298,10 MILLER DR
0403 00130000,R-70,R - Mobile Home,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2520087,184234,200 W STATE ST
0403 0013010E,E-70,E - Local Gov't (Townships & Boroughs),6,Neighborhood or Spot,E,99046000,R1,1,Public,,Not Listed,,,,2520186,184021,INDIAN RUN RD
0403 00140000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,2022,,2520355,183813,12 INDIAN RUN RD
0403 00140100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520465,183714,14 INDIAN RUN RD
0403 00150000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1958,,2520538,183613,16 INDIAN RUN RD
0403 00160000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1958,,2520594,183523,18 INDIAN RUN RD
0403 00170000,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,,,2520990,183978,INDIAN RUN RD
0403 00170100,V-10,R - Vacant Land Residential,2,Perm. Central Business District,R,04001000,I1,3,None,,Not Listed,,,,2521348,184197,INDIAN RUN RD
0403 0018000E,E-70,E - Local Gov't (Townships & Boroughs),6,Neighborhood or Spot,E,99046000,R1,1,Public,,Not Listed,,,1970,2520313,184368,126 W STATE ST
0403 0018010E,E-70,E - Local Gov't (Townships & Boroughs),6,Neighborhood or Spot,E,99046000,R1,1,Public,,Not Listed,,,,2520504,184164,W STATE ST
0403 00190000,F-40,"C - Mushroom, Horticultural, etc",6,Neighborhood or Spot,C,99046000,I1,1,Public,,Not Listed,,,1926,2520579,184535,120 W STATE ST
0403 00200000,R-30,R - Multi Family/Dorms/Single,6,Neighborhood or Spot,R,04001000,I1,1,Public,,Not Listed,,1900,,2520581,184705,116 W STATE ST
0403 00210000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,I1,1,Public,,Not Listed,,1952,,2520728,184666,110 W STATE ST
0403 00210100,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,I1,1,Public,5,Kitchen Remodeling,2023,1930,,2520635,184783,108 W STATE ST
0403 00220000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,I1,1,Public,,Not Listed,,1900,,2520719,184806,100 W STATE ST
0403 0023000E,E-40,E - Railroads,5,Secondary Strip,E,99045000,I1,1,Public,,Not Listed,,,,2520921,184707,PENNSYLVANIA AVE
0403 00240000,C-20,C - Gas Station,5,Secondary Strip,C,99045000,I1,1,Public,,Not Listed,,,1972,2521189,184657,84 PENNSYLVANIA AVE
0403 00240100,C-80,C - Warehouse,5,Secondary Strip,C,99045000,I1,1,Public,,Not Listed,,,1930,2521014,184807,88 PENNSYLVANIA AVE
0403 00250000,C-60,C - Office Bldgs/Laboratory/Library,5,Secondary Strip,C,99045000,I1,1,Public,,Not Listed,,,2001,2521414,184527,82 PENNSYLVANIA AVE
0403 0026000U,U-03,U - Public Utilities,5,Secondary Strip,U,99045000,I1,1,Public,,Not Listed,,,,2521441,184298,82 PENNSYLVANIA AVE
0403 00270000,M-20,I - Light Industrial,5,Secondary Strip,I,99045000,I1,1,Public,,Not Listed,,,1936,2521699,184117,42 GAP NEWPORT PK
0403 00280100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,I1,1,Public,,Not Listed,,1960,,2521562,183819,20 ELLICOT AVE
0403 00290000,C-70,C - Commercial Garage/Shop/Car Dealers,5,Secondary Strip,C,99045000,C1,2,Private,,Not Listed,,,1985,2521814,184783,65 BALTIMORE PK
0403 00290000,C-70,C - Commercial Garage/Shop/Car Dealers,5,Secondary Strip,C,99045000,C1,2,Private,,Not Listed,,,1982,2521814,184783,65 BALTIMORE PK
0403 00290100,C-50,C - Shopping Centers,5,Secondary Strip,C,99045000,C1,1,Public,,Not Listed,,,1989,2521470,184673,81 BALTIMORE PK
0403 00300000,C-30,"C - Restaurants, Stores (Retail)",5,Secondary Strip,C,99045000,I1,1,Public,,Not Listed,,,1976,2521843,184483,72 BALTIMORE PK
0403 0031000E,E-40,E - Railroads,5,Secondary Strip,E,99045000,I1,3,None,,Not Listed,,,,2522193,184545,OLD BALTIMORE PK
0403 0032000E,E-40,E - Railroads,5,Secondary Strip,E,99045000,I1,3,None,,Not Listed,,,,2521900,184310,41 GAP NEWPORT PK
0403 0033000E,E-40,E - Railroads,5,Secondary Strip,E,99045000,I1,1,Public,,Not Listed,,,,2522205,184282,39 GAP NEWPORT PK
0403 00340000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1926,,2522367,184128,37 GAP NEWPORT PK
0403 00350000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1917,,2522164,183944,38 GAP NEWPORT PK
0403 00360000,R-80,"R - Barns,Stables,Pools,Misc Bldg",6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,,,2522314,183872,36 GAP NEWPORT PK
0403 00370000,R-80,"R - Barns,Stables,Pools,Misc Bldg",6,Neighborhood or Spot,R,04001000,R1,2,Private,,Not Listed,,,,2521964,183670,ELLICOT AVE
0403 00370100,R-60,R - Dwelling W/Comm Use Primary R,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,1966,1730,,2521682,183356,23 ELLICOT AVE
0404 0001000E,E-40,E - Railroads,5,Secondary Strip,E,99045000,I1,1,Public,,Not Listed,,,,2522660,184641,OLD BALTIMORE PK
0404 00020000,C-30,"C - Restaurants, Stores (Retail)",5,Secondary Strip,C,99045000,R1,1,Public,,Not Listed,,,1977,2522825,183791,37 PENNSYLVANIA AVE
0404 00020100,V-10,R - Vacant Land Residential,2,Perm. Central Business District,R,04001000,R1,3,None,,Not Listed,,,,2522783,184191,PENNSYLVANIA AVE
0404 000201AE,E-90,E - Fire Companies,5,Secondary Strip,E,99045000,R1,2,Private,,Not Listed,,,2007,2523280,183864,25 GAP NEWPORT PK
0404 00030000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522585,183926,33 GAP NEWPORT PK
0404 00040000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1930,,2522393,183789,26 PENNSYLVANIA AVE
0404 00050000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522466,183748,34 GAP NEWPORT PK
0404 00060000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522535,183703,32 GAP NEWPORT PK
0404 00070000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2522615,183654,30 GAP NEWPORT PK
0404 00080000,R-40,A - Aparments (4-19 Units),4,Major Strip,A,04001000,R1,1,Public,,Not Listed,,1930,,2522864,183481,26 GAP NEWPORT PK
0404 00080100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1978,,2522666,183526,28 GAP NEWPORT PK
